id,nombre,descripcion,precio_venta
PR0000001,yogurt,avnhhgwesljflvpuvlkp,47
PR0000002,ale,tgcodxajkwpadcjvekek,24
PR0000003,powdered sugar,hygpkvagodejytfmmhju,18
PR0000004,blueberries,bexukjfomrlqknqfzkob,45
PR0000005,brazil nuts,eyaulhukgezrqkxpsqih,41
PR0000006,graham crackers,jllvyfjzxqubqcngxvuj,29
PR0000007,mint,ybrbczoqualjfwmvnrci,31
PR0000008,hoisin sauce,dcbncsrwfdvigabrbtvs,44
PR0000009,ginger,hsbvmninhktvmwicnmrw,34
PR0000010,sesame seeds,xoikardpklaurlplfezp,48
PR0000011,cantaloupes,vvdwqboaismxingvnadv,32
PR0000012,English muffins,vahbfrtcmqadujfxesjy,21
PR0000013,cheddar cheese,yqrdzqsibddjnqzibpcz,36
PR0000014,salmon,kcmbkfqxabkrgjuyixbt,45
PR0000015,raisins,kftnpkqcmfqwbdggboxc,23
PR0000016,sushi,qacjtcefgxmuvtxoannt,43
PR0000017,tuna,aqxzgeccyzkflnnriiqv,32
PR0000018,orange peels,hkbdkxffntwjdfxiczmo,19
PR0000019,tomato paste,fsabxvwkknuudjdgasjm,16
PR0000020,angelica,votuscylapfvfzqhthgj,34
PR0000021,eggs,pxewaxewtcyaxnrziyvt,22
PR0000022,mackerel,mjcyzlczdisbdwcpxzvr,22
PR0000023,cremini mushrooms,yqobamgnrbcyltidztwm,23
PR0000024,gouda,kfjsiejvpiqmchcclcfn,13
PR0000025,sherry,nsfafsoekzgzwawhdctg,16
PR0000026,tea,ddhbkftqagvbgvyjfbmh,24
PR0000027,turtle,vgsulqjgprokihorygrt,48
PR0000028,sardines,jxjinuuzlqwevscfhryf,39
PR0000029,green beans,dlhfzqkaqzsjacsfdodz,34
PR0000030,berries,zqoluwxqerazbsmhjhsg,22
PR0000031,pumpkin seeds,hzyionjbucjcxdfstmdz,49
PR0000032,shallots,lxnpqezwxljnpypzqbph,19
PR0000033,steak,namcxepltickmyodmgln,34
PR0000034,geese,twijdxworbwicngklgsh,30
PR0000035,nectarines,hsgqdfsqihlefsqwbowz,12
PR0000036,pasta,dxfxsnwmhefffvlumrco,30
PR0000037,cookies,dtfxiyerlwrtciliijty,34
PR0000038,asiago cheese,pgexezrfxfwwrrxcnrpf,40
PR0000039,cottage cheese,hjijucjikssojencbgda,16
PR0000040,margarine,atwftzuiahpmfzohbmdl,35
PR0000041,pickles,mkyrrkqfloocmtmwrmcp,48
PR0000042,potato chips,bpvksuaxnyuesreamgvc,12
PR0000043,sauerkraut,narlcbhwnsrqnixeurqh,16
PR0000044,honeydew melons,cemnmrrlzkskjuhphopb,29
PR0000045,sweet potatoes,aoywuhhwdghbmjvewcwm,41
PR0000046,rice,njxuaclrqfyzadmkgfso,39
PR0000047,apple butter,pswkicltovhsaxlxnuog,33
PR0000048,catfish,fcnxdkfhtnxrrcrtffwv,49
PR0000049,papayas,tambmhdpalbamqfjzcir,16
PR0000050,ancho chile peppers,ynpmptsdoohvxkdgiqqy,17
PR0000051,bean sprouts,ukurgiiivlpwlxvuklns,16
PR0000052,cooking wine,sivxdwsodbocbqcplmej,35
PR0000053,Havarti cheese,ifhwprzxkoaojdmzpcfe,20
PR0000054,coconut milk,gxfsmrcsjunldfkmgclq,39
PR0000055,mozzarella,ekwgmrzkqjrvnayoinxd,26
PR0000056,venison,pkyycfintkbfpkmbrxlw,46
PR0000057,beets,mluoxiolfunegkjmrgvi,46
PR0000058,white beans,kqxyvnblyhseliasvsio,20
PR0000059,jelly beans,qyxomtsmelhrerhwnkve,24
PR0000060,wild rice,ojohtgcctymzgblgzcka,20
PR0000061,amaretto,epnwjnddkabspcvaqibv,24
PR0000062,tomato juice,bdqsfhsstzetpimsyuji,20
PR0000063,clams,nnzafkawisnszwrfwter,43
PR0000064,Worcestershire sauce,ejnbqqesyorxrbbzocwp,10
PR0000065,raspberries,zxknxxwncswvlxzwrrqe,44
PR0000066,bagels,aglswtnumjypdckvnvuc,15
PR0000067,tomato sauce,eneecguabmjeeuldwocx,42
PR0000068,rice wine,fhqoxxbmvpgbfotvlghp,42
PR0000069,gelatin,huejbotlelcbxojgaqxe,13
