id,nivel_permiso
CL0000001,superusuario
CL0000002,megausuario
CL0000003,megausuario
CL0000004,superusuario
CL0000005,superusuario
CL0000006,megausuario
CL0000007,superusuario
CL0000008,superusuario
CL0000009,megausuario
CL0000010,superusuario
CL0000011,superusuario
CL0000012,superusuario
CL0000013,megausuario
CL0000014,megausuario
CL0000015,superusuario
CL0000016,megausuario
CL0000017,megausuario
CL0000018,superusuario
CL0000019,megausuario
CL0000020,superusuario
CL0000021,megausuario
CL0000022,megausuario
CL0000023,superusuario
CL0000024,megausuario
CL0000025,superusuario
CL0000026,superusuario
CL0000027,megausuario
CL0000028,superusuario
CL0000029,superusuario
CL0000030,megausuario
CL0000031,superusuario
CL0000032,superusuario
CL0000033,superusuario
CL0000034,superusuario
CL0000035,megausuario
CL0000036,megausuario
CL0000037,superusuario
CL0000038,superusuario
CL0000039,megausuario
CL0000040,superusuario
CL0000041,megausuario
CL0000042,megausuario
CL0000043,megausuario
CL0000044,superusuario
CL0000045,superusuario
CL0000046,megausuario
CL0000047,megausuario
CL0000048,superusuario
CL0000049,megausuario
CL0000050,megausuario
CL0000051,megausuario
CL0000052,superusuario
CL0000053,superusuario
CL0000054,superusuario
CL0000055,superusuario
CL0000056,superusuario
CL0000057,superusuario
CL0000058,megausuario
CL0000059,megausuario
CL0000060,superusuario
CL0000061,megausuario
CL0000062,megausuario
CL0000063,superusuario
CL0000064,superusuario
CL0000065,superusuario
CL0000066,superusuario
CL0000067,superusuario
CL0000068,megausuario
CL0000069,superusuario
CL0000070,superusuario
CL0000071,superusuario
CL0000072,superusuario
CL0000073,superusuario
CL0000074,superusuario
CL0000075,megausuario
CL0000076,megausuario
CL0000077,megausuario
CL0000078,superusuario
CL0000079,megausuario
CL0000080,megausuario
CL0000081,megausuario
CL0000082,megausuario
CL0000083,superusuario
CL0000084,megausuario
CL0000085,superusuario
CL0000086,megausuario
CL0000087,superusuario
CL0000088,superusuario
CL0000089,superusuario
CL0000090,superusuario
CL0000091,megausuario
CL0000092,megausuario
CL0000093,megausuario
CL0000094,superusuario
CL0000095,megausuario
CL0000096,superusuario
CL0000097,megausuario
CL0000098,megausuario
CL0000099,megausuario
CL0000100,superusuario
CL0000101,superusuario
CL0000102,superusuario
CL0000103,megausuario
CL0000104,megausuario
CL0000105,superusuario
CL0000106,superusuario
CL0000107,superusuario
CL0000108,megausuario
CL0000109,superusuario
CL0000110,superusuario
CL0000111,superusuario
CL0000112,megausuario
CL0000113,megausuario
CL0000114,superusuario
CL0000115,superusuario
CL0000116,superusuario
CL0000117,megausuario
CL0000118,superusuario
CL0000119,superusuario
CL0000120,superusuario
CL0000121,megausuario
CL0000122,megausuario
CL0000123,megausuario
CL0000124,megausuario
CL0000125,megausuario
CL0000126,megausuario
CL0000127,megausuario
CL0000128,megausuario
CL0000129,superusuario
CL0000130,megausuario
CL0000131,megausuario
CL0000132,superusuario
CL0000133,superusuario
CL0000134,superusuario
CL0000135,superusuario
CL0000136,megausuario
CL0000137,megausuario
CL0000138,megausuario
CL0000139,superusuario
CL0000140,superusuario
CL0000141,megausuario
CL0000142,megausuario
CL0000143,superusuario
CL0000144,superusuario
CL0000145,superusuario
CL0000146,superusuario
CL0000147,megausuario
CL0000148,superusuario
CL0000149,megausuario
CL0000150,superusuario
CL0000151,superusuario
CL0000152,superusuario
CL0000153,superusuario
CL0000154,megausuario
CL0000155,megausuario
CL0000156,superusuario
CL0000157,megausuario
CL0000158,megausuario
CL0000159,megausuario
CL0000160,superusuario
CL0000161,superusuario
CL0000162,superusuario
CL0000163,megausuario
CL0000164,superusuario
CL0000165,superusuario
CL0000166,megausuario
CL0000167,superusuario
CL0000168,megausuario
CL0000169,superusuario
CL0000170,superusuario
CL0000171,megausuario
CL0000172,superusuario
CL0000173,megausuario
CL0000174,superusuario
CL0000175,superusuario
CL0000176,superusuario
CL0000177,superusuario
CL0000178,superusuario
CL0000179,megausuario
CL0000180,superusuario
CL0000181,megausuario
CL0000182,superusuario
CL0000183,superusuario
CL0000184,megausuario
CL0000185,superusuario
CL0000186,megausuario
CL0000187,superusuario
CL0000188,megausuario
CL0000189,megausuario
CL0000190,megausuario
CL0000191,megausuario
CL0000192,megausuario
