usuario_id,administrador_id
US0200001,CL0000001
US0200002,CL0000002
US0200003,CL0000003
US0200004,CL0000004
US0200005,CL0000005
US0200006,CL0000006
US0200007,CL0000007
US0200008,CL0000008
US0200009,CL0000009
US0200010,CL0000010
US0200011,CL0000011
US0200012,CL0000012
US0200013,CL0000013
US0200014,CL0000014
US0200015,CL0000015
US0200016,CL0000016
US0200017,CL0000017
US0200018,CL0000018
US0200019,CL0000019
US0200020,CL0000020
US0200021,CL0000021
US0200022,CL0000022
US0200023,CL0000023
US0200024,CL0000024
US0200025,CL0000025
US0200026,CL0000026
US0200027,CL0000027
US0200028,CL0000028
US0200029,CL0000029
US0200030,CL0000030
US0200031,CL0000031
US0200032,CL0000032
US0200033,CL0000033
US0200034,CL0000034
US0200035,CL0000035
US0200036,CL0000036
US0200037,CL0000037
US0200038,CL0000038
US0200039,CL0000039
US0200040,CL0000040
US0200041,CL0000041
US0200042,CL0000042
US0200043,CL0000043
US0200044,CL0000044
US0200045,CL0000045
US0200046,CL0000046
US0200047,CL0000047
US0200048,CL0000048
US0200049,CL0000049
US0200050,CL0000050
US0200051,CL0000051
US0200052,CL0000052
US0200053,CL0000053
US0200054,CL0000054
US0200055,CL0000055
US0200056,CL0000056
US0200057,CL0000057
US0200058,CL0000058
US0200059,CL0000059
US0200060,CL0000060
US0200061,CL0000061
US0200062,CL0000062
US0200063,CL0000063
US0200064,CL0000064
US0200065,CL0000065
US0200066,CL0000066
US0200067,CL0000067
US0200068,CL0000068
US0200069,CL0000069
US0200070,CL0000070
US0200071,CL0000071
US0200072,CL0000072
US0200073,CL0000073
US0200074,CL0000074
US0200075,CL0000075
US0200076,CL0000076
US0200077,CL0000077
US0200078,CL0000078
US0200079,CL0000079
US0200080,CL0000080
US0200081,CL0000081
US0200082,CL0000082
US0200083,CL0000083
US0200084,CL0000084
US0200085,CL0000085
US0200086,CL0000086
US0200087,CL0000087
US0200088,CL0000088
US0200089,CL0000089
US0200090,CL0000090
US0200091,CL0000091
US0200092,CL0000092
US0200093,CL0000093
US0200094,CL0000094
US0200095,CL0000095
US0200096,CL0000096
US0200097,CL0000097
US0200098,CL0000098
US0200099,CL0000099
US0200100,CL0000100
US0200101,CL0000101
US0200102,CL0000102
US0200103,CL0000103
US0200104,CL0000104
US0200105,CL0000105
US0200106,CL0000106
US0200107,CL0000107
US0200108,CL0000108
US0200109,CL0000109
US0200110,CL0000110
US0200111,CL0000111
US0200112,CL0000112
US0200113,CL0000113
US0200114,CL0000114
US0200115,CL0000115
US0200116,CL0000116
US0200117,CL0000117
US0200118,CL0000118
US0200119,CL0000119
US0200120,CL0000120
US0200121,CL0000121
US0200122,CL0000122
US0200123,CL0000123
US0200124,CL0000124
US0200125,CL0000125
US0200126,CL0000126
US0200127,CL0000127
US0200128,CL0000128
US0200129,CL0000129
US0200130,CL0000130
US0200131,CL0000131
US0200132,CL0000132
US0200133,CL0000133
US0200134,CL0000134
US0200135,CL0000135
US0200136,CL0000136
US0200137,CL0000137
US0200138,CL0000138
US0200139,CL0000139
US0200140,CL0000140
US0200141,CL0000141
US0200142,CL0000142
US0200143,CL0000143
US0200144,CL0000144
US0200145,CL0000145
US0200146,CL0000146
US0200147,CL0000147
US0200148,CL0000148
US0200149,CL0000149
US0200150,CL0000150
US0200151,CL0000151
US0200152,CL0000152
US0200153,CL0000153
US0200154,CL0000154
US0200155,CL0000155
US0200156,CL0000156
US0200157,CL0000157
US0200158,CL0000158
US0200159,CL0000159
US0200160,CL0000160
US0200161,CL0000161
US0200162,CL0000162
US0200163,CL0000163
US0200164,CL0000164
US0200165,CL0000165
US0200166,CL0000166
US0200167,CL0000167
US0200168,CL0000168
US0200169,CL0000169
US0200170,CL0000170
US0200171,CL0000171
US0200172,CL0000172
US0200173,CL0000173
US0200174,CL0000174
US0200175,CL0000175
US0200176,CL0000176
US0200177,CL0000177
US0200178,CL0000178
US0200179,CL0000179
US0200180,CL0000180
US0200181,CL0000181
US0200182,CL0000182
US0200183,CL0000183
US0200184,CL0000184
US0200185,CL0000185
US0200186,CL0000186
US0200187,CL0000187
US0200188,CL0000188
US0200189,CL0000189
US0200190,CL0000190
US0200191,CL0000191
US0200192,CL0000192
US0200193,CL0000193
US0200194,CL0000194
US0200195,CL0000195
US0200196,CL0000196
US0200197,CL0000197
US0200198,CL0000198
US0200199,CL0000199
US0200200,CL0000200
