venta_id,producto_id,cantidad,precio
VE0000092,PR0000038,5,55
VE0009561,PR0000407,1,16
VE0008361,PR0000203,5,230
VE0004191,PR0000055,1,29
VE0005796,PR0000380,1,36
VE0003290,PR0000256,5,110
VE0001203,PR0000401,4,176
VE0009729,PR0000343,1,12
VE0006621,PR0000362,3,138
VE0006338,PR0000052,3,72
VE0006148,PR0000140,5,190
VE0006845,PR0000049,5,80
VE0000416,PR0000247,5,115
VE0004027,PR0000321,5,195
VE0003600,PR0000311,3,120
VE0008641,PR0000111,2,88
VE0005229,PR0000134,4,120
VE0007887,PR0000072,5,190
VE0008111,PR0000285,1,25
VE0002013,PR0000017,2,82
VE0009860,PR0000158,4,200
VE0007132,PR0000235,4,84
VE0000022,PR0000073,5,130
VE0000151,PR0000239,1,34
VE0003589,PR0000029,2,42
VE0008102,PR0000408,4,112
VE0001447,PR0000004,5,150
VE0002162,PR0000072,4,152
VE0009129,PR0000315,4,80
VE0008552,PR0000258,4,72
VE0001335,PR0000289,4,172
VE0007901,PR0000188,5,50
VE0003413,PR0000269,2,60
VE0007593,PR0000030,3,114
VE0002624,PR0000384,1,39
VE0005397,PR0000403,4,184
VE0005733,PR0000377,2,72
VE0009492,PR0000128,1,37
VE0008516,PR0000103,2,24
VE0001529,PR0000361,4,52
VE0009840,PR0000414,1,36
VE0001682,PR0000092,3,36
VE0005978,PR0000209,3,108
VE0006367,PR0000277,2,96
VE0006521,PR0000179,5,125
VE0005073,PR0000321,5,195
VE0005762,PR0000102,3,150
VE0008438,PR0000205,1,26
VE0005456,PR0000406,2,28
VE0004324,PR0000369,3,147
VE0001599,PR0000277,1,48
VE0008600,PR0000223,2,40
VE0007664,PR0000091,3,42
VE0007266,PR0000047,3,75
VE0007828,PR0000385,1,40
VE0009464,PR0000144,5,215
VE0001153,PR0000155,1,31
VE0006120,PR0000103,4,48
VE0004159,PR0000279,3,108
VE0004367,PR0000335,4,76
VE0007386,PR0000408,3,84
VE0000066,PR0000201,3,141
VE0002143,PR0000298,4,40
VE0005336,PR0000165,4,200
VE0000049,PR0000146,5,95
VE0007277,PR0000069,4,192
VE0007170,PR0000265,5,80
VE0005862,PR0000295,2,68
VE0003213,PR0000354,2,62
VE0001946,PR0000298,5,50
VE0006181,PR0000120,2,22
VE0002723,PR0000228,2,78
VE0001786,PR0000309,1,24
VE0002379,PR0000234,1,38
VE0003018,PR0000146,4,76
VE0001482,PR0000069,2,96
VE0002889,PR0000278,5,105
VE0004436,PR0000232,3,111
VE0000489,PR0000168,3,72
VE0003721,PR0000053,4,80
VE0003522,PR0000410,2,90
VE0006693,PR0000058,3,126
VE0008187,PR0000039,3,42
VE0008635,PR0000260,3,108
VE0008033,PR0000211,3,150
VE0008489,PR0000299,5,170
VE0007383,PR0000103,2,24
VE0004577,PR0000290,3,105
VE0001516,PR0000129,1,48
VE0005958,PR0000385,1,40
VE0002493,PR0000264,4,108
VE0003653,PR0000318,5,100
VE0008307,PR0000095,3,147
VE0006284,PR0000126,3,66
VE0008246,PR0000239,5,170
VE0007972,PR0000032,2,56
VE0008209,PR0000322,2,86
VE0000079,PR0000122,1,35
VE0002985,PR0000224,1,45
VE0004336,PR0000277,4,192
VE0002463,PR0000025,4,100
VE0002482,PR0000315,1,20
VE0005276,PR0000359,1,42
VE0004105,PR0000380,2,72
VE0004993,PR0000316,4,188
VE0003707,PR0000002,5,140
VE0009264,PR0000072,5,190
VE0004418,PR0000114,5,140
VE0003649,PR0000225,2,44
VE0009448,PR0000355,1,47
VE0007819,PR0000285,4,100
VE0004702,PR0000058,2,84
VE0001348,PR0000291,5,85
VE0003560,PR0000186,4,44
VE0006560,PR0000332,4,92
VE0002040,PR0000355,3,141
VE0005393,PR0000048,4,188
VE0001934,PR0000056,5,70
VE0008464,PR0000018,2,54
VE0002170,PR0000153,1,26
VE0003192,PR0000075,3,72
VE0003406,PR0000063,1,24
VE0004813,PR0000133,4,200
VE0004010,PR0000372,2,46
VE0008810,PR0000301,5,230
VE0000177,PR0000400,4,160
VE0009529,PR0000085,3,60
VE0006203,PR0000106,1,50
VE0009841,PR0000340,3,129
VE0008615,PR0000044,2,54
VE0001077,PR0000150,4,148
VE0004520,PR0000122,1,35
VE0004836,PR0000019,3,138
VE0000483,PR0000399,1,33
VE0007120,PR0000114,4,112
VE0006005,PR0000252,5,140
VE0005843,PR0000111,3,132
VE0005857,PR0000287,4,200
VE0000388,PR0000248,3,39
VE0001618,PR0000372,3,69
VE0009092,PR0000290,3,105
VE0000255,PR0000320,3,111
VE0002664,PR0000109,2,58
VE0005970,PR0000384,5,195
VE0006063,PR0000377,4,144
VE0006339,PR0000145,2,34
VE0002990,PR0000379,2,60
VE0003069,PR0000314,5,60
VE0000079,PR0000324,4,60
VE0002367,PR0000334,3,108
VE0001245,PR0000200,4,128
VE0007749,PR0000246,2,56
VE0007798,PR0000126,2,44
VE0007291,PR0000003,5,225
VE0007154,PR0000261,4,188
VE0008248,PR0000169,5,140
VE0007075,PR0000195,3,69
VE0008473,PR0000191,1,15
VE0003856,PR0000396,3,36
VE0007883,PR0000045,5,225
VE0000533,PR0000231,3,150
VE0007769,PR0000210,3,117
VE0009709,PR0000182,5,140
VE0003425,PR0000268,2,40
VE0004953,PR0000224,2,90
VE0007414,PR0000401,2,88
VE0002698,PR0000297,1,47
VE0003266,PR0000181,4,88
VE0007806,PR0000198,2,92
VE0005064,PR0000063,1,24
VE0002882,PR0000091,5,70
VE0000673,PR0000075,5,120
VE0009505,PR0000007,5,145
VE0008199,PR0000090,3,144
VE0001737,PR0000397,4,196
VE0006802,PR0000224,5,225
VE0003808,PR0000272,2,86
VE0001899,PR0000110,3,54
VE0004711,PR0000346,4,68
VE0006761,PR0000050,4,176
VE0001960,PR0000064,1,38
VE0004482,PR0000090,3,144
VE0007602,PR0000058,2,84
VE0000069,PR0000065,5,140
VE0007437,PR0000203,3,138
VE0003611,PR0000117,5,115
VE0001021,PR0000084,1,44
VE0001504,PR0000022,2,52
VE0005139,PR0000349,1,43
VE0006989,PR0000216,3,75
VE0009212,PR0000328,3,81
VE0002503,PR0000332,3,69
VE0004976,PR0000400,3,120
VE0009231,PR0000191,1,15
VE0007930,PR0000094,3,126
VE0007893,PR0000391,3,129
VE0007477,PR0000229,1,43
VE0007711,PR0000358,4,160
VE0005203,PR0000411,4,152
VE0007209,PR0000372,3,69
VE0008817,PR0000223,5,100
VE0009505,PR0000338,5,85
VE0006951,PR0000305,2,66
VE0004655,PR0000214,3,135
VE0003656,PR0000045,1,45
VE0006075,PR0000320,5,185
VE0004551,PR0000189,3,84
VE0001824,PR0000281,2,82
VE0006726,PR0000279,4,144
VE0004403,PR0000248,5,65
VE0009865,PR0000029,4,84
VE0005149,PR0000197,2,66
VE0002700,PR0000137,1,11
VE0005845,PR0000294,2,82
VE0004259,PR0000090,2,96
VE0001267,PR0000329,1,23
VE0006208,PR0000161,1,29
VE0002962,PR0000243,5,70
VE0001977,PR0000392,5,135
VE0008328,PR0000227,3,84
VE0006191,PR0000246,2,56
VE0001508,PR0000116,2,40
VE0004117,PR0000154,1,11
VE0008838,PR0000292,5,200
VE0008695,PR0000295,1,34
VE0004773,PR0000079,4,132
VE0003617,PR0000162,5,155
VE0009598,PR0000375,3,111
VE0009503,PR0000099,1,43
VE0004360,PR0000271,3,102
VE0000312,PR0000121,1,26
VE0001214,PR0000269,5,150
VE0008006,PR0000312,4,56
VE0009434,PR0000006,3,138
VE0007649,PR0000188,1,10
VE0001223,PR0000293,1,24
VE0003979,PR0000274,5,195
VE0005780,PR0000071,4,64
VE0003477,PR0000187,1,39
VE0007176,PR0000262,1,37
VE0007990,PR0000397,2,98
VE0005761,PR0000222,3,72
VE0004738,PR0000122,4,140
VE0004714,PR0000035,1,19
VE0003235,PR0000392,5,135
VE0006601,PR0000248,5,65
VE0003473,PR0000075,1,24
VE0005810,PR0000077,4,192
VE0001513,PR0000389,5,175
VE0004613,PR0000282,1,26
VE0006768,PR0000002,1,28
VE0009849,PR0000369,1,49
VE0004434,PR0000295,3,102
VE0003334,PR0000002,2,56
VE0002102,PR0000396,3,36
VE0003350,PR0000312,1,14
VE0003530,PR0000200,4,128
VE0006005,PR0000383,1,18
VE0003405,PR0000128,1,37
VE0008533,PR0000152,5,145
VE0001114,PR0000118,4,148
VE0004070,PR0000332,5,115
VE0001932,PR0000106,2,100
VE0000736,PR0000271,4,136
VE0002336,PR0000391,1,43
VE0003824,PR0000392,5,135
VE0006439,PR0000008,1,49
VE0002486,PR0000167,5,175
VE0003846,PR0000309,1,24
VE0001421,PR0000373,5,90
VE0007598,PR0000110,5,90
VE0004404,PR0000037,3,141
VE0001983,PR0000106,1,50
VE0004648,PR0000258,1,18
VE0001110,PR0000081,2,28
VE0004847,PR0000220,4,176
VE0003531,PR0000237,5,190
VE0001479,PR0000166,4,160
VE0006793,PR0000349,2,86
VE0009264,PR0000112,4,152
VE0004235,PR0000255,5,105
VE0002081,PR0000352,5,130
VE0006014,PR0000126,5,110
VE0005811,PR0000412,4,128
VE0008459,PR0000384,1,39
VE0003646,PR0000184,2,24
VE0002425,PR0000110,3,54
VE0004937,PR0000235,1,21
VE0007842,PR0000173,2,96
VE0003699,PR0000177,1,41
VE0008840,PR0000336,1,27
VE0008389,PR0000402,2,88
VE0006984,PR0000224,5,225
VE0007098,PR0000057,4,68
VE0006877,PR0000289,5,215
VE0006158,PR0000197,2,66
VE0009445,PR0000151,1,46
VE0009128,PR0000328,3,81
VE0009149,PR0000204,5,250
VE0001996,PR0000185,5,215
VE0003077,PR0000025,4,100
VE0001735,PR0000056,2,28
VE0006150,PR0000068,3,63
VE0004474,PR0000285,4,100
VE0002486,PR0000284,2,66
VE0009713,PR0000062,5,110
VE0007992,PR0000141,2,86
VE0008842,PR0000051,5,150
VE0004501,PR0000146,4,76
VE0001068,PR0000402,2,88
VE0004514,PR0000249,4,132
VE0001851,PR0000007,2,58
VE0004082,PR0000286,2,72
VE0008953,PR0000089,5,145
VE0000910,PR0000048,5,235
VE0001235,PR0000168,1,24
VE0002916,PR0000052,5,120
VE0002013,PR0000228,2,78
VE0008405,PR0000281,4,164
VE0009225,PR0000125,4,176
VE0007119,PR0000036,2,78
VE0007227,PR0000105,1,33
VE0004488,PR0000320,4,148
VE0001580,PR0000101,3,93
VE0001559,PR0000008,2,98
VE0005703,PR0000105,3,99
VE0004151,PR0000204,1,50
VE0001277,PR0000308,1,12
VE0006232,PR0000342,4,152
VE0008179,PR0000268,1,20
VE0003232,PR0000060,4,176
VE0008416,PR0000354,3,93
VE0008863,PR0000162,2,62
VE0001230,PR0000157,4,104
VE0008312,PR0000252,3,84
VE0001332,PR0000026,4,128
VE0007863,PR0000228,3,117
VE0009832,PR0000054,3,81
VE0004479,PR0000142,3,147
VE0008430,PR0000327,2,30
VE0001421,PR0000107,1,10
VE0000930,PR0000172,5,120
VE0008637,PR0000158,2,100
VE0001849,PR0000181,5,110
VE0005247,PR0000407,1,16
VE0006087,PR0000271,3,102
VE0007778,PR0000357,3,84
VE0003607,PR0000341,1,20
VE0006306,PR0000044,2,54
VE0009593,PR0000291,1,17
VE0003242,PR0000035,3,57
VE0001837,PR0000274,4,156
VE0004922,PR0000085,4,80
VE0000597,PR0000214,1,45
VE0006749,PR0000324,2,30
VE0001079,PR0000290,5,175
VE0005552,PR0000084,1,44
VE0007276,PR0000256,5,110
VE0009332,PR0000215,4,88
VE0002761,PR0000373,5,90
VE0005406,PR0000188,2,20
VE0003005,PR0000340,3,129
VE0001173,PR0000002,1,28
VE0003479,PR0000206,3,111
VE0002899,PR0000109,2,58
VE0002029,PR0000022,5,130
VE0004296,PR0000081,3,42
