id,venta_id
EN0000001,VE0008866
EN0000002,VE0007378
EN0000003,VE0009687
EN0000004,VE0003749
EN0000005,VE0006055
EN0000006,VE0000479
EN0000007,VE0007873
EN0000008,VE0008233
EN0000009,VE0008573
EN0000010,VE0004392
EN0000011,VE0002378
EN0000012,VE0004012
EN0000013,VE0004243
EN0000014,VE0005076
EN0000015,VE0004938
EN0000016,VE0003129
EN0000017,VE0001710
EN0000018,VE0000977
EN0000019,VE0006363
EN0000020,VE0007933
EN0000021,VE0004540
EN0000022,VE0004486
EN0000023,VE0002011
EN0000024,VE0006182
EN0000025,VE0005477
EN0000026,VE0009100
EN0000027,VE0007999
EN0000028,VE0005524
EN0000029,VE0004226
EN0000030,VE0001516
EN0000031,VE0000837
EN0000032,VE0009698
EN0000033,VE0005259
EN0000034,VE0007669
EN0000035,VE0000696
EN0000036,VE0009954
EN0000037,VE0008853
EN0000038,VE0005322
EN0000039,VE0009956
EN0000040,VE0001801
EN0000041,VE0004148
EN0000042,VE0005554
EN0000043,VE0002194
EN0000044,VE0004542
EN0000045,VE0000689
EN0000046,VE0000192
EN0000047,VE0005103
EN0000048,VE0009600
EN0000049,VE0007307
EN0000050,VE0006353
EN0000051,VE0009471
EN0000052,VE0008695
EN0000053,VE0008765
EN0000054,VE0009809
EN0000055,VE0009020
EN0000056,VE0002610
EN0000057,VE0009695
EN0000058,VE0004953
EN0000059,VE0003878
EN0000060,VE0002529
EN0000061,VE0006415
EN0000062,VE0002856
EN0000063,VE0007594
EN0000064,VE0006526
EN0000065,VE0009346
EN0000066,VE0002443
EN0000067,VE0000090
EN0000068,VE0004025
EN0000069,VE0000586
EN0000070,VE0001063
EN0000071,VE0008672
EN0000072,VE0004541
EN0000073,VE0009592
EN0000074,VE0004154
EN0000075,VE0009608
EN0000076,VE0009752
EN0000077,VE0006073
EN0000078,VE0001377
EN0000079,VE0005370
EN0000080,VE0007869
EN0000081,VE0004197
EN0000082,VE0005176
EN0000083,VE0008983
EN0000084,VE0009271
EN0000085,VE0003541
EN0000086,VE0000480
EN0000087,VE0005905
EN0000088,VE0003967
EN0000089,VE0001293
EN0000090,VE0003482
EN0000091,VE0005123
EN0000092,VE0007450
EN0000093,VE0005235
EN0000094,VE0007390
EN0000095,VE0001848
EN0000096,VE0003794
EN0000097,VE0008528
EN0000098,VE0005341
EN0000099,VE0000104
EN0000100,VE0007056
EN0000101,VE0008200
EN0000102,VE0009083
EN0000103,VE0003442
EN0000104,VE0001319
EN0000105,VE0003615
EN0000106,VE0004230
EN0000107,VE0005184
EN0000108,VE0006695
EN0000109,VE0007955
EN0000110,VE0000680
EN0000111,VE0007149
EN0000112,VE0003339
EN0000113,VE0007401
EN0000114,VE0004154
EN0000115,VE0007141
EN0000116,VE0002524
EN0000117,VE0002465
EN0000118,VE0002428
EN0000119,VE0005120
EN0000120,VE0007225
EN0000121,VE0002627
EN0000122,VE0003767
EN0000123,VE0009379
EN0000124,VE0008234
EN0000125,VE0006593
EN0000126,VE0007207
EN0000127,VE0000081
EN0000128,VE0001197
EN0000129,VE0009104
EN0000130,VE0000491
EN0000131,VE0005423
EN0000132,VE0004196
EN0000133,VE0005431
EN0000134,VE0008235
EN0000135,VE0004302
EN0000136,VE0007386
EN0000137,VE0006347
EN0000138,VE0009112
EN0000139,VE0008360
EN0000140,VE0004334
EN0000141,VE0008922
EN0000142,VE0001267
EN0000143,VE0002233
EN0000144,VE0006298
EN0000145,VE0000875
EN0000146,VE0004022
EN0000147,VE0000416
EN0000148,VE0008412
EN0000149,VE0001993
EN0000150,VE0008043
EN0000151,VE0006016
EN0000152,VE0008918
EN0000153,VE0007126
EN0000154,VE0003271
EN0000155,VE0005433
EN0000156,VE0003778
EN0000157,VE0001652
EN0000158,VE0009311
EN0000159,VE0004662
EN0000160,VE0009300
EN0000161,VE0004932
EN0000162,VE0001341
EN0000163,VE0006446
EN0000164,VE0000061
EN0000165,VE0005682
EN0000166,VE0003163
EN0000167,VE0008530
EN0000168,VE0003132
EN0000169,VE0004532
EN0000170,VE0009103
EN0000171,VE0001784
EN0000172,VE0002128
EN0000173,VE0006205
EN0000174,VE0006037
EN0000175,VE0002425
EN0000176,VE0009187
EN0000177,VE0005050
EN0000178,VE0001945
EN0000179,VE0008753
EN0000180,VE0002790
EN0000181,VE0006067
EN0000182,VE0003090
EN0000183,VE0002769
EN0000184,VE0009555
EN0000185,VE0002232
EN0000186,VE0006984
EN0000187,VE0004212
EN0000188,VE0000957
EN0000189,VE0006930
EN0000190,VE0000606
EN0000191,VE0008447
EN0000192,VE0000253
EN0000193,VE0001527
EN0000194,VE0003868
EN0000195,VE0007673
EN0000196,VE0004112
EN0000197,VE0004287
EN0000198,VE0004686
EN0000199,VE0001308
EN0000200,VE0009473
EN0000201,VE0005436
EN0000202,VE0001385
EN0000203,VE0004607
EN0000204,VE0003380
EN0000205,VE0007370
EN0000206,VE0001644
EN0000207,VE0009870
EN0000208,VE0005346
EN0000209,VE0006094
EN0000210,VE0000439
EN0000211,VE0000782
EN0000212,VE0002136
EN0000213,VE0001450
EN0000214,VE0000459
EN0000215,VE0006893
EN0000216,VE0004579
EN0000217,VE0007203
EN0000218,VE0004647
EN0000219,VE0001378
EN0000220,VE0000472
EN0000221,VE0004455
EN0000222,VE0001630
EN0000223,VE0002764
